observation_model,policy,n_learners,fraction_mastered,ci_low,ci_high,mta_minus_policy,wilcoxon_p_vs_mta
iid sigma=0.10 (paper grid),fixed_curriculum_no_skip,500,0.0868333333333333,0.0793333333333333,0.0945041666666666,0.4078333333333334,2.706430243395643e-85
iid sigma=0.10 (paper grid),prereq_lowest_first_previous,500,0.1315,0.1241666666666666,0.1393333333333333,0.3631666666666667,6.022582643973877e-85
iid sigma=0.10 (paper grid),filtered_curriculum_index_order,500,0.4511666666666667,0.4463333333333333,0.4556666666666666,0.0435,1.628882503024136e-36
iid sigma=0.10 (paper grid),filtered_curriculum_random_topo,500,0.4576666666666666,0.4526625,0.4616666666666666,0.037,6.17356906611501e-32
iid sigma=0.10 (paper grid),mta,500,0.4946666666666667,0.4906666666666667,0.4983333333333333,0.0,
"AR(1) rho=0.096, sigma=0.061",greedy_lowest_first,500,0.0046666666666666,0.003,0.0066666666666666,0.541,7.990301254659976e-88
"AR(1) rho=0.096, sigma=0.061",random_unmastered,500,0.0928333333333333,0.086,0.1000041666666666,0.4528333333333333,1.853215986853584e-85
"AR(1) rho=0.096, sigma=0.061",fixed_curriculum_no_skip,500,0.0868333333333333,0.0793333333333333,0.0945041666666666,0.4588333333333333,1.886876491507003e-85
"AR(1) rho=0.096, sigma=0.061",prereq_lowest_first_previous,500,0.1445,0.1371666666666666,0.1515,0.4011666666666666,2.0615163137965303e-84
"AR(1) rho=0.096, sigma=0.061",filtered_curriculum_index_order,500,0.5233333333333332,0.5188333333333333,0.5283333333333332,0.0223333333333333,1.7755302513071096e-11
"AR(1) rho=0.096, sigma=0.061",filtered_curriculum_random_topo,500,0.5205,0.516,0.5251666666666667,0.0251666666666666,4.890458974982872e-16
"AR(1) rho=0.096, sigma=0.061",mta,500,0.5456666666666667,0.541,0.5496666666666667,0.0,
AR(1)+first-occurrence bias w=0.096,greedy_lowest_first,500,0.0056666666666666,0.0038333333333333,0.0078333333333333,0.539,6.202728247829687e-88
AR(1)+first-occurrence bias w=0.096,random_unmastered,500,0.0928333333333333,0.086,0.1000041666666666,0.4518333333333333,2.636150130492667e-85
AR(1)+first-occurrence bias w=0.096,fixed_curriculum_no_skip,500,0.0868333333333333,0.0793333333333333,0.0945041666666666,0.4578333333333333,4.2620420388868015e-85
AR(1)+first-occurrence bias w=0.096,prereq_lowest_first_previous,500,0.1486666666666666,0.1414958333333333,0.1561708333333333,0.396,2.0121121187048571e-84
AR(1)+first-occurrence bias w=0.096,filtered_curriculum_index_order,500,0.5233333333333332,0.5188333333333333,0.5283333333333332,0.0213333333333333,7.372142732246492e-11
AR(1)+first-occurrence bias w=0.096,filtered_curriculum_random_topo,500,0.5205,0.516,0.5251666666666667,0.0241666666666666,6.520238528012285e-15
AR(1)+first-occurrence bias w=0.096,mta,500,0.5446666666666666,0.5398333333333333,0.5486708333333334,0.0,
iid sigma=0.084 (per-KC upper end),greedy_lowest_first,500,0.01,0.007499999999999999,0.012833333333333332,0.504,1.2119173384886e-90
iid sigma=0.084 (per-KC upper end),random_unmastered,500,0.0935,0.08666249999999999,0.10067083333333332,0.4205,4.4026726401425035e-85
iid sigma=0.084 (per-KC upper end),fixed_curriculum_no_skip,500,0.08683333333333335,0.07933333333333334,0.09450416666666667,0.4271666666666667,1.852221814910009e-85
iid sigma=0.084 (per-KC upper end),prereq_lowest_first_previous,500,0.12933333333333333,0.12132916666666665,0.13716666666666666,0.3846666666666667,1.015272569546492e-84
iid sigma=0.084 (per-KC upper end),filtered_curriculum_index_order,500,0.4778333333333334,0.47333333333333333,0.4825,0.03616666666666667,6.437939929775101e-26
iid sigma=0.084 (per-KC upper end),filtered_curriculum_random_topo,500,0.481,0.47666666666666674,0.4856666666666667,0.033,4.834235321335323e-24
iid sigma=0.084 (per-KC upper end),mta,500,0.514,0.51,0.5181666666666668,0.0,
