noise_level,noise,graph,prior,decay,readiness,policy,fraction_mastered
sigma_hat_0.061,0.06104859597401423,chains,partial,0.004,0.6,mta,0.55125
sigma_hat_0.061,0.06104859597401423,chains,partial,0.008,1.0,greedy_lowest_first,0.0
sigma_hat_0.061,0.06104859597401423,chains,partial,0.008,1.0,random_unmastered,0.02333333333333333
sigma_hat_0.061,0.06104859597401423,chains,partial,0.008,1.0,fixed_curriculum_no_skip,0.0
sigma_hat_0.061,0.06104859597401423,chains,partial,0.008,1.0,prereq_lowest_first_previous,0.039999999999999994
sigma_hat_0.061,0.06104859597401423,chains,partial,0.008,1.0,filtered_curriculum_index_order,0.2920833333333333
sigma_hat_0.061,0.06104859597401423,chains,partial,0.008,1.0,filtered_curriculum_random_topo,0.29875
sigma_hat_0.061,0.06104859597401423,chains,partial,0.008,1.0,mta,0.3145833333333333
sigma_hat_0.061,0.06104859597401423,chains,partial,0.008,0.8,greedy_lowest_first,0.0
sigma_hat_0.061,0.06104859597401423,chains,partial,0.008,0.8,random_unmastered,0.0075
sigma_hat_0.061,0.06104859597401423,chains,partial,0.008,0.8,fixed_curriculum_no_skip,0.0
sigma_hat_0.061,0.06104859597401423,chains,partial,0.008,0.8,prereq_lowest_first_previous,0.03833333333333333
sigma_hat_0.061,0.06104859597401423,chains,partial,0.008,0.8,filtered_curriculum_index_order,0.2895833333333333
sigma_hat_0.061,0.06104859597401423,chains,partial,0.008,0.8,filtered_curriculum_random_topo,0.2975
sigma_hat_0.061,0.06104859597401423,chains,partial,0.008,0.8,mta,0.27
sigma_hat_0.061,0.06104859597401423,chains,partial,0.008,0.6,greedy_lowest_first,0.0
sigma_hat_0.061,0.06104859597401423,chains,partial,0.008,0.6,random_unmastered,0.0075
sigma_hat_0.061,0.06104859597401423,chains,partial,0.008,0.6,fixed_curriculum_no_skip,0.0
sigma_hat_0.061,0.06104859597401423,chains,partial,0.008,0.6,prereq_lowest_first_previous,0.045
sigma_hat_0.061,0.06104859597401423,chains,partial,0.008,0.6,filtered_curriculum_index_order,0.28708333333333336
sigma_hat_0.061,0.06104859597401423,chains,partial,0.008,0.6,filtered_curriculum_random_topo,0.29291666666666666
sigma_hat_0.061,0.06104859597401423,chains,partial,0.008,0.6,mta,0.23
sigma_hat_0.061,0.06104859597401423,dag,uniform,0.0,1.0,greedy_lowest_first,0.9891666666666667
sigma_hat_0.061,0.06104859597401423,dag,uniform,0.0,1.0,random_unmastered,0.9770833333333333
sigma_hat_0.061,0.06104859597401423,dag,uniform,0.0,1.0,fixed_curriculum_no_skip,0.9508333333333334
sigma_hat_0.061,0.06104859597401423,dag,uniform,0.0,1.0,prereq_lowest_first_previous,0.9766666666666666
sigma_hat_0.061,0.06104859597401423,dag,uniform,0.0,1.0,filtered_curriculum_index_order,0.88875
sigma_hat_0.061,0.06104859597401423,dag,uniform,0.0,1.0,filtered_curriculum_random_topo,0.8895833333333333
sigma_hat_0.061,0.06104859597401423,dag,uniform,0.0,1.0,mta,0.8954166666666665
sigma_hat_0.061,0.06104859597401423,dag,uniform,0.0,0.8,greedy_lowest_first,0.99125
sigma_hat_0.061,0.06104859597401423,dag,uniform,0.0,0.8,random_unmastered,0.96875
sigma_hat_0.061,0.06104859597401423,dag,uniform,0.0,0.8,fixed_curriculum_no_skip,0.9120833333333335
sigma_hat_0.061,0.06104859597401423,dag,uniform,0.0,0.8,prereq_lowest_first_previous,0.9783333333333334
sigma_hat_0.061,0.06104859597401423,dag,uniform,0.0,0.8,filtered_curriculum_index_order,0.88625
sigma_hat_0.061,0.06104859597401423,dag,uniform,0.0,0.8,filtered_curriculum_random_topo,0.8891666666666665
sigma_hat_0.061,0.06104859597401423,dag,uniform,0.0,0.8,mta,0.8925
sigma_hat_0.061,0.06104859597401423,dag,uniform,0.0,0.6,greedy_lowest_first,0.7279166666666665
sigma_hat_0.061,0.06104859597401423,dag,uniform,0.0,0.6,random_unmastered,0.81
sigma_hat_0.061,0.06104859597401423,dag,uniform,0.0,0.6,fixed_curriculum_no_skip,0.7058333333333334
sigma_hat_0.061,0.06104859597401423,dag,uniform,0.0,0.6,prereq_lowest_first_previous,0.9725
sigma_hat_0.061,0.06104859597401423,dag,uniform,0.0,0.6,filtered_curriculum_index_order,0.8849999999999999
sigma_hat_0.061,0.06104859597401423,dag,uniform,0.0,0.6,filtered_curriculum_random_topo,0.8870833333333333
sigma_hat_0.061,0.06104859597401423,dag,uniform,0.0,0.6,mta,0.8870833333333333
sigma_hat_0.061,0.06104859597401423,dag,uniform,0.002,1.0,greedy_lowest_first,0.8483333333333333
sigma_hat_0.061,0.06104859597401423,dag,uniform,0.002,1.0,random_unmastered,0.7620833333333334
sigma_hat_0.061,0.06104859597401423,dag,uniform,0.002,1.0,fixed_curriculum_no_skip,0.7029166666666665
sigma_hat_0.061,0.06104859597401423,dag,uniform,0.002,1.0,prereq_lowest_first_previous,0.7583333333333334
sigma_hat_0.061,0.06104859597401423,dag,uniform,0.002,1.0,filtered_curriculum_index_order,0.685
sigma_hat_0.061,0.06104859597401423,dag,uniform,0.002,1.0,filtered_curriculum_random_topo,0.68875
sigma_hat_0.061,0.06104859597401423,dag,uniform,0.002,1.0,mta,0.6991666666666667
sigma_hat_0.061,0.06104859597401423,dag,uniform,0.002,0.8,greedy_lowest_first,0.4108333333333333
sigma_hat_0.061,0.06104859597401423,dag,uniform,0.002,0.8,random_unmastered,0.5041666666666668
sigma_hat_0.061,0.06104859597401423,dag,uniform,0.002,0.8,fixed_curriculum_no_skip,0.50125
sigma_hat_0.061,0.06104859597401423,dag,uniform,0.002,0.8,prereq_lowest_first_previous,0.6704166666666665
sigma_hat_0.061,0.06104859597401423,dag,uniform,0.002,0.8,filtered_curriculum_index_order,0.6825
sigma_hat_0.061,0.06104859597401423,dag,uniform,0.002,0.8,filtered_curriculum_random_topo,0.6845833333333334
sigma_hat_0.061,0.06104859597401423,dag,uniform,0.002,0.8,mta,0.6954166666666666
sigma_hat_0.061,0.06104859597401423,dag,uniform,0.002,0.6,greedy_lowest_first,0.04875
sigma_hat_0.061,0.06104859597401423,dag,uniform,0.002,0.6,random_unmastered,0.2775
sigma_hat_0.061,0.06104859597401423,dag,uniform,0.002,0.6,fixed_curriculum_no_skip,0.31666666666666665
sigma_hat_0.061,0.06104859597401423,dag,uniform,0.002,0.6,prereq_lowest_first_previous,0.6083333333333334
sigma_hat_0.061,0.06104859597401423,dag,uniform,0.002,0.6,filtered_curriculum_index_order,0.6795833333333333
sigma_hat_0.061,0.06104859597401423,dag,uniform,0.002,0.6,filtered_curriculum_random_topo,0.68125
sigma_hat_0.061,0.06104859597401423,dag,uniform,0.002,0.6,mta,0.69125
sigma_hat_0.061,0.06104859597401423,dag,uniform,0.004,1.0,greedy_lowest_first,0.11666666666666668
sigma_hat_0.061,0.06104859597401423,dag,uniform,0.004,1.0,random_unmastered,0.2333333333333333
sigma_hat_0.061,0.06104859597401423,dag,uniform,0.004,1.0,fixed_curriculum_no_skip,0.25708333333333333
sigma_hat_0.061,0.06104859597401423,dag,uniform,0.004,1.0,prereq_lowest_first_previous,0.30083333333333334
sigma_hat_0.061,0.06104859597401423,dag,uniform,0.004,1.0,filtered_curriculum_index_order,0.5270833333333332
sigma_hat_0.061,0.06104859597401423,dag,uniform,0.004,1.0,filtered_curriculum_random_topo,0.5283333333333333
sigma_hat_0.061,0.06104859597401423,dag,uniform,0.004,1.0,mta,0.5454166666666667
sigma_hat_0.061,0.06104859597401423,dag,uniform,0.004,0.8,greedy_lowest_first,0.009999999999999998
sigma_hat_0.061,0.06104859597401423,dag,uniform,0.004,0.8,random_unmastered,0.11083333333333333
sigma_hat_0.061,0.06104859597401423,dag,uniform,0.004,0.8,fixed_curriculum_no_skip,0.11208333333333333
sigma_hat_0.061,0.06104859597401423,dag,uniform,0.004,0.8,prereq_lowest_first_previous,0.27708333333333335
sigma_hat_0.061,0.06104859597401423,dag,uniform,0.004,0.8,filtered_curriculum_index_order,0.5270833333333332
sigma_hat_0.061,0.06104859597401423,dag,uniform,0.004,0.8,filtered_curriculum_random_topo,0.5266666666666666
sigma_hat_0.061,0.06104859597401423,dag,uniform,0.004,0.8,mta,0.545
sigma_hat_0.061,0.06104859597401423,dag,uniform,0.004,0.6,greedy_lowest_first,0.00041666666666666664
sigma_hat_0.061,0.06104859597401423,dag,uniform,0.004,0.6,random_unmastered,0.07041666666666666
sigma_hat_0.061,0.06104859597401423,dag,uniform,0.004,0.6,fixed_curriculum_no_skip,0.09583333333333333
sigma_hat_0.061,0.06104859597401423,dag,uniform,0.004,0.6,prereq_lowest_first_previous,0.26
sigma_hat_0.061,0.06104859597401423,dag,uniform,0.004,0.6,filtered_curriculum_index_order,0.5266666666666667
sigma_hat_0.061,0.06104859597401423,dag,uniform,0.004,0.6,filtered_curriculum_random_topo,0.5245833333333333
sigma_hat_0.061,0.06104859597401423,dag,uniform,0.004,0.6,mta,0.5441666666666667
sigma_hat_0.061,0.06104859597401423,dag,uniform,0.008,1.0,greedy_lowest_first,0.0
sigma_hat_0.061,0.06104859597401423,dag,uniform,0.008,1.0,random_unmastered,0.01583333333333333
sigma_hat_0.061,0.06104859597401423,dag,uniform,0.008,1.0,fixed_curriculum_no_skip,0.0
sigma_hat_0.061,0.06104859597401423,dag,uniform,0.008,1.0,prereq_lowest_first_previous,0.06166666666666666
sigma_hat_0.061,0.06104859597401423,dag,uniform,0.008,1.0,filtered_curriculum_index_order,0.29125
sigma_hat_0.061,0.06104859597401423,dag,uniform,0.008,1.0,filtered_curriculum_random_topo,0.2995833333333333
sigma_hat_0.061,0.06104859597401423,dag,uniform,0.008,1.0,mta,0.3095833333333334
sigma_hat_0.061,0.06104859597401423,dag,uniform,0.008,0.8,greedy_lowest_first,0.0
sigma_hat_0.061,0.06104859597401423,dag,uniform,0.008,0.8,random_unmastered,0.007916666666666666
sigma_hat_0.061,0.06104859597401423,dag,uniform,0.008,0.8,fixed_curriculum_no_skip,0.0
sigma_hat_0.061,0.06104859597401423,dag,uniform,0.008,0.8,prereq_lowest_first_previous,0.06458333333333333
sigma_hat_0.061,0.06104859597401423,dag,uniform,0.008,0.8,filtered_curriculum_index_order,0.28833333333333333
sigma_hat_0.061,0.06104859597401423,dag,uniform,0.008,0.8,filtered_curriculum_random_topo,0.29625
sigma_hat_0.061,0.06104859597401423,dag,uniform,0.008,0.8,mta,0.3041666666666667
sigma_hat_0.061,0.06104859597401423,dag,uniform,0.008,0.6,greedy_lowest_first,0.0
sigma_hat_0.061,0.06104859597401423,dag,uniform,0.008,0.6,random_unmastered,0.007083333333333333
sigma_hat_0.061,0.06104859597401423,dag,uniform,0.008,0.6,fixed_curriculum_no_skip,0.0
sigma_hat_0.061,0.06104859597401423,dag,uniform,0.008,0.6,prereq_lowest_first_previous,0.06416666666666666
sigma_hat_0.061,0.06104859597401423,dag,uniform,0.008,0.6,filtered_curriculum_index_order,0.28833333333333333
sigma_hat_0.061,0.06104859597401423,dag,uniform,0.008,0.6,filtered_curriculum_random_topo,0.2966666666666667
sigma_hat_0.061,0.06104859597401423,dag,uniform,0.008,0.6,mta,0.3
sigma_hat_0.061,0.06104859597401423,dag,partial,0.0,1.0,greedy_lowest_first,0.9920833333333333
sigma_hat_0.061,0.06104859597401423,dag,partial,0.0,1.0,random_unmastered,0.9729166666666668
sigma_hat_0.061,0.06104859597401423,dag,partial,0.0,1.0,fixed_curriculum_no_skip,0.92375
sigma_hat_0.061,0.06104859597401423,dag,partial,0.0,1.0,prereq_lowest_first_previous,0.98375
sigma_hat_0.061,0.06104859597401423,dag,partial,0.0,1.0,filtered_curriculum_index_order,0.9541666666666666
sigma_hat_0.061,0.06104859597401423,dag,partial,0.0,1.0,filtered_curriculum_random_topo,0.955
sigma_hat_0.061,0.06104859597401423,dag,partial,0.0,1.0,mta,0.9575
