n_kcs,turns,tau,gain,decay,readiness,noise,graph,prior,policy,fraction_mastered
12,120,0.8,0.185,0.002,1.0,0.1,chains,uniform,filtered_curriculum_index_order,0.5779166666666666
12,120,0.8,0.185,0.002,1.0,0.1,chains,uniform,filtered_curriculum_random_topo,0.5766666666666667
12,120,0.8,0.185,0.002,1.0,0.1,chains,uniform,mta,0.6033333333333333
12,120,0.8,0.185,0.002,0.8,0.0,chains,uniform,greedy_lowest_first,0.2058333333333333
12,120,0.8,0.185,0.002,0.8,0.0,chains,uniform,random_unmastered,0.5595833333333333
12,120,0.8,0.185,0.002,0.8,0.0,chains,uniform,fixed_curriculum_no_skip,0.4641666666666667
12,120,0.8,0.185,0.002,0.8,0.0,chains,uniform,prereq_lowest_first_previous,0.8666666666666666
12,120,0.8,0.185,0.002,0.8,0.0,chains,uniform,filtered_curriculum_index_order,0.9183333333333333
12,120,0.8,0.185,0.002,0.8,0.0,chains,uniform,filtered_curriculum_random_topo,0.9225
12,120,0.8,0.185,0.002,0.8,0.0,chains,uniform,mta,0.9233333333333331
12,120,0.8,0.185,0.002,0.8,0.05,chains,uniform,greedy_lowest_first,0.2995833333333333
12,120,0.8,0.185,0.002,0.8,0.05,chains,uniform,random_unmastered,0.4770833333333333
12,120,0.8,0.185,0.002,0.8,0.05,chains,uniform,fixed_curriculum_no_skip,0.4641666666666667
12,120,0.8,0.185,0.002,0.8,0.05,chains,uniform,prereq_lowest_first_previous,0.55
12,120,0.8,0.185,0.002,0.8,0.05,chains,uniform,filtered_curriculum_index_order,0.7191666666666666
12,120,0.8,0.185,0.002,0.8,0.05,chains,uniform,filtered_curriculum_random_topo,0.7216666666666666
12,120,0.8,0.185,0.002,0.8,0.05,chains,uniform,mta,0.73125
12,120,0.8,0.185,0.002,0.8,0.1,chains,uniform,greedy_lowest_first,0.33375
12,120,0.8,0.185,0.002,0.8,0.1,chains,uniform,random_unmastered,0.43875
12,120,0.8,0.185,0.002,0.8,0.1,chains,uniform,fixed_curriculum_no_skip,0.4641666666666667
12,120,0.8,0.185,0.002,0.8,0.1,chains,uniform,prereq_lowest_first_previous,0.49125
12,120,0.8,0.185,0.002,0.8,0.1,chains,uniform,filtered_curriculum_index_order,0.5683333333333332
12,120,0.8,0.185,0.002,0.8,0.1,chains,uniform,filtered_curriculum_random_topo,0.5704166666666666
12,120,0.8,0.185,0.002,0.8,0.1,chains,uniform,mta,0.6008333333333333
12,120,0.8,0.185,0.002,0.6,0.0,chains,uniform,greedy_lowest_first,0.0
12,120,0.8,0.185,0.002,0.6,0.0,chains,uniform,random_unmastered,0.2516666666666667
12,120,0.8,0.185,0.002,0.6,0.0,chains,uniform,fixed_curriculum_no_skip,0.23583333333333337
12,120,0.8,0.185,0.002,0.6,0.0,chains,uniform,prereq_lowest_first_previous,0.8666666666666666
12,120,0.8,0.185,0.002,0.6,0.0,chains,uniform,filtered_curriculum_index_order,0.9183333333333333
12,120,0.8,0.185,0.002,0.6,0.0,chains,uniform,filtered_curriculum_random_topo,0.9225
12,120,0.8,0.185,0.002,0.6,0.0,chains,uniform,mta,0.9208333333333333
12,120,0.8,0.185,0.002,0.6,0.05,chains,uniform,greedy_lowest_first,0.005416666666666666
12,120,0.8,0.185,0.002,0.6,0.05,chains,uniform,random_unmastered,0.19083333333333333
12,120,0.8,0.185,0.002,0.6,0.05,chains,uniform,fixed_curriculum_no_skip,0.23583333333333337
12,120,0.8,0.185,0.002,0.6,0.05,chains,uniform,prereq_lowest_first_previous,0.3725
12,120,0.8,0.185,0.002,0.6,0.05,chains,uniform,filtered_curriculum_index_order,0.7125
12,120,0.8,0.185,0.002,0.6,0.05,chains,uniform,filtered_curriculum_random_topo,0.7179166666666665
12,120,0.8,0.185,0.002,0.6,0.05,chains,uniform,mta,0.7275
12,120,0.8,0.185,0.002,0.6,0.1,chains,uniform,greedy_lowest_first,0.01583333333333333
12,120,0.8,0.185,0.002,0.6,0.1,chains,uniform,random_unmastered,0.18333333333333335
12,120,0.8,0.185,0.002,0.6,0.1,chains,uniform,fixed_curriculum_no_skip,0.23583333333333337
12,120,0.8,0.185,0.002,0.6,0.1,chains,uniform,prereq_lowest_first_previous,0.3379166666666667
12,120,0.8,0.185,0.002,0.6,0.1,chains,uniform,filtered_curriculum_index_order,0.5616666666666666
12,120,0.8,0.185,0.002,0.6,0.1,chains,uniform,filtered_curriculum_random_topo,0.5670833333333333
12,120,0.8,0.185,0.002,0.6,0.1,chains,uniform,mta,0.595
12,120,0.8,0.185,0.004,1.0,0.0,chains,uniform,greedy_lowest_first,0.04083333333333333
12,120,0.8,0.185,0.004,1.0,0.0,chains,uniform,random_unmastered,0.26625
12,120,0.8,0.185,0.004,1.0,0.0,chains,uniform,fixed_curriculum_no_skip,0.25708333333333333
12,120,0.8,0.185,0.004,1.0,0.0,chains,uniform,prereq_lowest_first_previous,0.2341666666666667
12,120,0.8,0.185,0.004,1.0,0.0,chains,uniform,filtered_curriculum_index_order,0.6120833333333333
12,120,0.8,0.185,0.004,1.0,0.0,chains,uniform,filtered_curriculum_random_topo,0.6079166666666667
12,120,0.8,0.185,0.004,1.0,0.0,chains,uniform,mta,0.6170833333333333
12,120,0.8,0.185,0.004,1.0,0.05,chains,uniform,greedy_lowest_first,0.10041666666666665
12,120,0.8,0.185,0.004,1.0,0.05,chains,uniform,random_unmastered,0.22375
12,120,0.8,0.185,0.004,1.0,0.05,chains,uniform,fixed_curriculum_no_skip,0.25708333333333333
12,120,0.8,0.185,0.004,1.0,0.05,chains,uniform,prereq_lowest_first_previous,0.19333333333333336
12,120,0.8,0.185,0.004,1.0,0.05,chains,uniform,filtered_curriculum_index_order,0.5529166666666667
12,120,0.8,0.185,0.004,1.0,0.05,chains,uniform,filtered_curriculum_random_topo,0.54875
12,120,0.8,0.185,0.004,1.0,0.05,chains,uniform,mta,0.5654166666666667
12,120,0.8,0.185,0.004,1.0,0.1,chains,uniform,greedy_lowest_first,0.15208333333333335
12,120,0.8,0.185,0.004,1.0,0.1,chains,uniform,random_unmastered,0.2358333333333333
12,120,0.8,0.185,0.004,1.0,0.1,chains,uniform,fixed_curriculum_no_skip,0.25708333333333333
12,120,0.8,0.185,0.004,1.0,0.1,chains,uniform,prereq_lowest_first_previous,0.18541666666666667
12,120,0.8,0.185,0.004,1.0,0.1,chains,uniform,filtered_curriculum_index_order,0.45375
12,120,0.8,0.185,0.004,1.0,0.1,chains,uniform,filtered_curriculum_random_topo,0.4575
12,120,0.8,0.185,0.004,1.0,0.1,chains,uniform,mta,0.49875
12,120,0.8,0.185,0.004,0.8,0.0,chains,uniform,greedy_lowest_first,0.0
12,120,0.8,0.185,0.004,0.8,0.0,chains,uniform,random_unmastered,0.12041666666666667
12,120,0.8,0.185,0.004,0.8,0.0,chains,uniform,fixed_curriculum_no_skip,0.08458333333333332
12,120,0.8,0.185,0.004,0.8,0.0,chains,uniform,prereq_lowest_first_previous,0.2341666666666667
12,120,0.8,0.185,0.004,0.8,0.0,chains,uniform,filtered_curriculum_index_order,0.6120833333333333
12,120,0.8,0.185,0.004,0.8,0.0,chains,uniform,filtered_curriculum_random_topo,0.6079166666666667
12,120,0.8,0.185,0.004,0.8,0.0,chains,uniform,mta,0.61625
12,120,0.8,0.185,0.004,0.8,0.05,chains,uniform,greedy_lowest_first,0.0025
12,120,0.8,0.185,0.004,0.8,0.05,chains,uniform,random_unmastered,0.10083333333333332
